,Node,Line node,Stance action,Tag,Running cost,Annotation,Motif,Time,Beat,Line,Line with active holds,BPM,Left foot hint,Right foot hint,Left foot,Right foot,Left hand,Right hand,Cost,foot_inversion,angle,hand_inversion,foot_position,hold_footslide,hold_footswitch,move,jump,bracket,hands,move_without_action,downpress,double_step,min_cost,multihit,double_step_in_multi,bracket_for_1panel,hold_alternate
0,"2.0:p1`36,p2`14;--,1-:any-any-any",2,"p1`36,p2`14;--,1-",any-any-any,5,,,1.436464088,2,`0000010000,`0000010000,90.5,,1,,1,,,5,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
1,"2.1666666666666665:p1`69,p2`14;-1,--:any-any-any",2.166666667,"p1`69,p2`14;-1,--",any-any-any,10.32,alternate,,1.546961326,2.166666667,`0001000000,`0001000000,90.5,1,,1,,,,5.32,0,0,0,0,0,0,0.120527109,0,0,0,0,0,0,5.2,0,0,0,0
2,"2.3333333333333335:p1`69,p2`47;--,-1:any-any-any",2.333333333,"p1`69,p2`47;--,-1",any-any-any,15.67,,,1.767955801,2.333333333,`0000001000,`0000001000,90.5,,1,,1,,,5.35,0,0,0,0,0,0,0.148252776,0,0,0,0,0,0,5.2,0,0,0,0
3,"2.5:p1`36,p2`47;1-,--:any-any-any",2.5,"p1`36,p2`47;1-,--",any-any-any,20.99,alternate,,1.878453039,2.5,`0000100000,`0000100000,90.5,1,,1,,,,5.32,0,0,0,0,0,0,0.120527109,0,0,0,0,0,0,5.2,0,0,0,0
4,"2.6666666666666665:p1`36,p2`47;--,-1:any-any-any",2.666666667,"p1`36,p2`47;--,-1",any-any-any,25.99,alternate,,1.988950276,2.666666667,`0000001000,`0000001000,90.5,,1,,1,,,5,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
5,"2.8333333333333335:p1`69,p2`47;-1,--:any-any-any",2.833333333,"p1`69,p2`47;-1,--",any-any-any,31.31,,,2.209944751,2.833333333,`0001000000,`0001000000,90.5,1,,1,,,,5.32,0,0,0,0,0,0,0.120527109,0,0,0,0,0,0,5.2,0,0,0,0
6,"3.0:p1`69,p2`14c;--,1-:any-any-any",3,"p1`69,p2`14c;--,1-",any-any-any,37.22,alternate,,2.320441989,3,`0000010000,`0000010000,90.5,,1,,1,,,5.91,0,0,0,0,0,0,0.705051237,0,0,0,0,0,0,5.2,0,0,0,0
7,"3.1666666666666665:p1`69,p2`14c;-1,--:any-any-any",3.166666667,"p1`69,p2`14c;-1,--",any-any-any,42.22,alternate,,2.430939227,3.166666667,`0001000000,`0001000000,90.5,1,,1,,,,5,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
8,"3.3333333333333335:p1`69,p1`3-p2`4c;--,2-:any-any-any",3.333333333,"p1`69,p1`3-p2`4c;--,2-",any-any-any,47.54,,,2.651933702,3.333333333,`0000200000,`0000200000,90.5,,2,,2,,,5.32,0,0,0,0,0,0,0.116225699,0,0,0,0,0,0,5.2,0,0,0,0
9,"3.5:p1`54,p1`3-p2`4c;1-,3-:any-any-jack",3.5,"p1`54,p1`3-p2`4c;1-,3-",any-any-jack,53.88,,"((3.5, 3.5), 'any-any-jackorfree')",2.762430939,3.5,`0010300000,`0010300000,90.5,1,3,1,3,,,6.34,0,0,0,0,0,0,1.137001915,0,0,0,0,0,0,5.2,0,0,0,0
10,"4.0:p1`14,p1`3-p2`4c;2-,--:any-any-any",4,"p1`14,p1`3-p2`4c;2-,--",any-any-any,61.59,,,3.20441989,4,`2000000000,`2000000000,90.5,2,,2,,,,7.71,0,0,0,0,0,0,0.007081972,0,0,0,0,0,2.5,5.2,0,0,0,0
11,"5.0:p1`14,p1`9-p2`7;4-,1-:any-any-jack",5,"p1`14,p1`9-p2`7;4-,1-",any-any-jack,67.37,,"((5.0, 5.0), 'any-any-jackorfree')",3.867403315,5,`0001000000,`4001000000,90.5,4,1,4,1,,,5.78,0,0,0,0.05,0,0,0.428173131,0,0,0,0,0,0,5.2,0,0,0.1,0
12,"5.5:p1`14,p1`9-p2`7;3-,--:any-any-any",5.5,"p1`14,p1`9-p2`7;3-,--",any-any-any,72.42,,,4.198895028,5.5,`3000000000,`3000000000,90.5,3,,3,,,,5.05,0,0,0,0.05,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
13,"6.0:p1`14,p2`47;--,-2:any-any-any",6,"p1`14,p2`47;--,-2",any-any-any,78.23,alternate,,4.53038674,6,`0000002000,`0000002000,90.5,,2,,2,,,5.81,0,0,0,0,0,0,0.612141947,0,0,0,0,0,0,5.2,0,0,0,0
14,"7.0:p1`65,p2`47;-1,-4:any-any-jack",7,"p1`65,p2`47;-1,-4",any-any-jack,84.66,,"((7.0, 7.0), 'any-any-jackorfree')",5.193370166,7,`0010000000,`0010004000,90.5,1,4,1,4,,,6.43,0,0,0,0,0,0,1.228543196,0,0,0,0,0,0,5.2,0,0,0,0
15,"7.5:p1`65,p2`47;--,-3:any-any-any",7.5,"p1`65,p2`47;--,-3",any-any-any,89.66,,,5.524861878,7.5,`0000003000,`0000003000,90.5,,3,,3,,,5,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
16,"8.0:p1`69c,p2`47;-2,--:any-any-any",8,"p1`69c,p2`47;-2,--",any-any-any,95.39,alternate,,5.856353591,8,`0002000000,`0002000000,90.5,2,,2,,,,5.73,0,0,0,0,0,0,0.531926843,0,0,0,0,0,0,5.2,0,0,0,0
17,"9.0:p1`69c,p2`53;-4,1-:any-any-jack",9,"p1`69c,p2`53;-4,1-",any-any-jack,101.76,,"((9.0, 9.0), 'any-any-jackorfree')",6.519337017,9,`0000000100,`0004000100,90.5,4,1,4,1,,,6.37,0,0,0,0.05,0,0,1.018352094,0,0,0,0,0,0,5.2,0,0,0.1,0
18,"9.5:p1`69c,p2`53;-3,--:any-any-any",9.5,"p1`69c,p2`53;-3,--",any-any-any,106.81,,,6.850828729,9.5,`0003000000,`0003000000,90.5,3,,3,,,,5.05,0,0,0,0.05,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0,0
19,"10.0:p1`69c,p2`53;--,-2:any-any-any",10,"p1`69c,p2`53;--,-2",any-any-any,111.96,alternate,,7.182320442,10,`0000000002,`0000000002,90.5,,2,,2,,,5.15,0,0,0,0.05,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0.1,0
20,"11.0:p1`6-p2`7c,p2`53;-1,-4:any-any-jack",11,"p1`6-p2`7c,p2`53;-1,-4",any-any-jack,117.42,,"((11.0, 11.0), 'any-any-jackorfree')",7.845303867,11,`0000001000,`0000001004,90.5,1,4,1,4,,,5.46,0,0,0,0.05,0,0,0.109972421,0,0,0,0,0,0,5.2,0,0,0.1,0
21,"11.5:p1`6-p2`7c,p2`53;--,13:any-any-any",11.5,"p1`6-p2`7c,p2`53;--,13",any-any-any,122.57,,,8.17679558,11.5,`0000000103,`0000000103,90.5,,13,,13,,,5.15,0,0,0,0.05,0,0,-0.2,0,0,0,0,0,0,5.2,0,0,0.1,0
22,"12.0:p2`1-p1`6c,p2`53;2-,--:any-any-any",12,"p2`1-p1`6c,p2`53;2-,--",any-any-any,128.22,,,8.508287293,12,`0000020000,`0000020000,90.5,2,,2,,,,5.65,0,0,0,0.05,0,0,0.303080317,0,0,0,0,0,0,5.2,0,0,0.1,0
