,Node,Line node,Stance action,Tag,Running cost,Annotation,Motif,Time,Beat,Line,Line with active holds,Twist angle,BPM,Left foot hint,Right foot hint,Left foot,Right foot,Left hand,Right hand,Cost,foot_inversion,angle,hand_inversion,foot_position,hold_footslide,hold_footswitch,move,jump,bracket,hands,move_without_action,downpress,double_step,min_cost,multihit,double_step_in_multi,bracket_for_1panel,hold_alternate,Time since,Beat since,Time since downpress,Beat since downpress,Has downpress,Notes per second since downpress,Has downpress adj.,Body angle,Hold,Hold taps,Splits,Jump,Bracket,Double step,Twist angle,Footswitch,Jack,Bracket footswitch,Hold tap single foot,Hold footslide,Hold footswitch,Staggered hit,Hands,Travel (mm),Drill,Run,Hold run,Bracket drill,Irregular rhythm,Rhythm change,Bracket jump run,Side3 singles,Mid4 doubles,Mid6 doubles,Run with brackets,Jump run,"Stairs, doubles","Stairs, singles","Broken stairs, doubles",Spin,Twist solo diagonal
0,"16.0:p1`14,p2`14;1-,--:any-any-any",16,"p1`14,p2`14;1-,--",any-any-any,2.03,,,5.052631579,16,`1000000000,`1000000000,none,190,1,,1,,,,2.03,0,0,0,0,0,0,1.779446389,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,TRUE,,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,"17.0:p1`14,p1`3-p2`4c;--,1-:any-any-any",17,"p1`14,p1`3-p2`4c;--,1-",any-any-any,3.26,alternate,,5.368421053,17,`0000100000,`0000100000,none,190,,1,,1,,,1.23,0,0,0,0,0,0,0.982488692,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.144200483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,562.2014089,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,"18.0:p1`14,p1`3-p2`4c;1-,--:any-any-any",18,"p1`14,p1`3-p2`4c;1-,--",any-any-any,3.31,alternate,,5.684210526,18,`1000000000,`1000000000,none,190,1,,1,,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.144200483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,"19.0:p1`14,p1`3-p2`4c;--,1-:any-any-any",19,"p1`14,p1`3-p2`4c;--,1-",any-any-any,3.36,alternate,,6,19,`0000100000,`0000100000,none,190,,1,,1,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.144200483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"20.0:p1`a7,p1`3-p2`4c;-1,--:any-any-any",20,"p1`a7,p1`3-p2`4c;-1,--",any-any-any,3.77,alternate,,6.315789474,20,`0100000000,`0100000000,none,190,1,,1,,,,0.41,0,0,0,0.01,0,0,0.148252776,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,346.0088536,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,301.0372234,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"21.0:p1`a7,p2`4-p1`9c;--,-1:any-any-any",21,"p1`a7,p2`4-p1`9c;--,-1",any-any-any,4.33,alternate,,6.631578947,21,`0001000000,`0001000000,none,190,,1,,1,,,0.56,0,0,0,0.01,0,0,0.295923996,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,354.3370818,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,225.6522174,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,"21.5:p1`65,p2`4-p1`9c;-1,--:any-any-any",21.5,"p1`65,p2`4-p1`9c;-1,--",any-any-any,5.91,alternate,,6.789473684,21.5,`0010000000,`0010000000,none,190,1,,1,,,,1.58,0,0,0,0,0,0,1.327930638,0,0,0,0,0,0,0.25,0,0,0,0,0.157894737,0.5,0.157894737,0.5,TRUE,6.333333333,TRUE,25.89690911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,753.287467,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"24.0:p1`65,p2`36;--,1-:any-any-any",24,"p1`65,p2`36;--,1-",any-any-any,10.1,,,7.578947368,24,`0000000001,`0000000001,none,190,,1,,1,,,4.19,0,0,0,0,0,0,3.938904612,0,0,0,0,0,0,0.25,0,0,0,0,0.789473684,2.5,0.789473684,2.5,TRUE,1.266666667,TRUE,3.195234281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1312.568838,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"25.0:p2`14c,p2`36;1-,--:any-any-any",25,"p2`14c,p2`36;1-,--",any-any-any,11.6,alternate,,7.894736842,25,`0000010000,`0000010000,none,190,1,,1,,,,1.5,0,0,0,0,0,0,1.24932481,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.748415812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,693.6506215,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"26.0:p2`14c,p2`36;--,1-:any-any-any",26,"p2`14c,p2`36;--,1-",any-any-any,11.65,alternate,,8.210526316,26,`0000000001,`0000000001,none,190,,1,,1,,,0.05,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.25,0,0,0,0,0.315789474,1,0.315789474,1,TRUE,3.166666667,TRUE,0.748415812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
