,Node,Line node,Stance action,Tag,Running cost,Annotation,Motif,Time,Beat,Line,Line with active holds,BPM,Left foot hint,Right foot hint,Left foot,Right foot,Left hand,Right hand,Cost,foot_inversion,angle,hand_inversion,foot_position,hold_footslide,hold_footswitch,move,jump,bracket,hands,move_without_action,downpress,double_step,min_cost,multihit,double_step_in_multi,bracket_for_1panel,hold_alternate
0,"6.75:p2`a1c,p2`a1;-1,--:any-any-any",6.75,"p2`a1c,p2`a1;-1,--",any-any-any,5.38,,,7.043478261,6.75,`0000010000,`0000010000,57.5,,1,1,,,,5.38,0,0,0,0,0,0,0.180171471,0,0,0,5,0,0,0.2,0,0,0,0
1,"6.875:p2`a1c,p1`a3c;--,-1:any-any-any",6.875,"p2`a1c,p1`a3c;--,-1",any-any-any,6.05,alternate,,7.173913043,6.875,`0000100000,`0000100000,57.5,1,,,1,,,0.67,0.3,0,0,0,0,0,0.171766204,0,0,0,0,0,0,0.2,0,0,0,0
2,"8.0:p1`a9c,p1`a3c;-1,--:any-any-any",8,"p1`a9c,p1`a3c;-1,--",any-any-any,6.37,,,8.347826087,8,`0001000000,`0001000000,57.5,1,,1,,,,0.32,0,0,0,0,0,0,0.122992105,0,0,0,0,0,0,0.2,0,0,0,0
3,"8.125:p1`a9c,p2`a7c;--,-1:any-any-any",8.125,"p1`a9c,p2`a7c;--,-1",any-any-any,6.69,alternate,,8.47826087,8.125,`0000001000,`0000001000,57.5,,1,,1,,,0.32,0,0,0,0,0,0,0.122992105,0,0,0,0,0,0,0.2,0,0,0,0
4,"8.25:p1`a9c,p2`a7c;-1,--:any-any-any",8.25,"p1`a9c,p2`a7c;-1,--",any-any-any,6.69,alternate,,8.608695652,8.25,`0001000000,`0001000000,57.5,1,,1,,,,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.2,0,0,0,0
5,"8.375:p1`a9c,p2`a7c;--,-1:any-any-any",8.375,"p1`a9c,p2`a7c;--,-1",any-any-any,6.69,alternate,,8.739130435,8.375,`0000001000,`0000001000,57.5,,1,,1,,,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.2,0,0,0,0
6,"8.5:p1`a3c,p2`a7c;-1,--:any-any-any",8.5,"p1`a3c,p2`a7c;-1,--",any-any-any,6.99,alternate,,8.869565217,8.5,`0000100000,`0000100000,57.5,1,,1,,,,0.3,0,0,0,0,0,0,0.104599465,0,0,0,0,0,0,0.2,0,0,0,0
7,"8.625:p1`a3c,p2`a1c;--,-1:any-any-any",8.625,"p1`a3c,p2`a1c;--,-1",any-any-any,7.29,alternate,,9,8.625,`0000010000,`0000010000,57.5,,1,,1,,,0.3,0,0,0,0,0,0,0.104599465,0,0,0,0,0,0,0.2,0,0,0,0
8,"8.75:p1`a3c,p2`a1c;-1,--:any-any-any",8.75,"p1`a3c,p2`a1c;-1,--",any-any-any,7.29,alternate,,9.130434783,8.75,`0000100000,`0000100000,57.5,1,,1,,,,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.2,0,0,0,0
9,"8.875:p1`a3c,p2`a1c;--,-1:any-any-any",8.875,"p1`a3c,p2`a1c;--,-1",any-any-any,7.29,alternate,,9.260869565,8.875,`0000010000,`0000010000,57.5,,1,,1,,,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0.2,0,0,0,0
