,Name,Loc x - heel ball,Loc y - heel ball,Loc x - toe ball,Loc y - toe ball,Loc x - center,Loc y - center,Panel - heel,Panel - toe,Rotation,Left foot,Right foot,Left hand,Right hand,Big feet only,"p1,1","p1,3","p1,5","p1,7","p1,9","p2,1","p2,3","p2,5","p2,7","p2,9",Notes,Rare,Support rotated heel-toe,Unusual,Cost - basic,Cost - beginner,Cost - basicold
0,p1`a1,236,535,236,535,236,535,air,"p1,1",any,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Whole foot,,,,0.01,0,0.01
1,p1`a3,604,535,604,535,604,535,air,"p1,3",any,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Whole foot,,,,0.01,0,0.01
2,p1`a5,419,419,419,419,419,419,air,"p1,5",any,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,Whole foot,,,,0,0,0
3,p1`a7,234,313,234,313,234,313,air,"p1,7",any,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Whole foot,,,,0.01,0,0.01
4,p1`a9,603,313,603,313,603,313,air,"p1,9",any,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Whole foot,,,,0.01,0,0.01
5,p1`14,236,544,236,383,236,463.5,"p1,1","p1,4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,10,0
6,p1`47,234,474,234,313,234,393.5,"p1,4","p1,7",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0,10,0
7,p1`51,349,479,217,572,283,525.5,"p1,5","p1,1",-125,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,Right foot,,,0.9,10,4
8,p1`15,237,572,329,440,283,506,"p1,1","p1,5",35,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,Right foot,,,0.3,10,3.5
9,p1`54,332,501,229,377,280.5,439,"p1,5","p1,4",-40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,10,0.02
10,p1`75,219,265,351,357,285,311,"p1,7","p1,5",125,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,Both feet,,,2,10,5
11,p1`57,319,412,227,280,273,346,"p1,5","p1,7",-35,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,0.3,10,3.5
12,p1`35,599,572,507,440,553,506,"p1,3","p1,5",-35,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,Left foot,,,0.3,10,3.5
13,p1`53,487,479,619,572,553,525.5,"p1,5","p1,3",125,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,Left foot,,,0.9,10,4
14,p1`56,509,501,612,377,560.5,439,"p1,5","p1,6",40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,10,0.02
15,p1`59,517,412,609,280,563,346,"p1,5","p1,9",35,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,,,,,0.3,10,3.5
16,p1`95,621,265,489,357,555,311,"p1,9","p1,5",-125,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,,Both feet,,,2,10,5
17,p1`36,603,535,603,373.5,603,454.25,"p1,3","p1,6",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,10,0
18,p1`69,603,474,603,312.5,603,393.25,"p1,6","p1,9",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,10,0
19,p1`44,234,499,234,338,234,418.5,"p1,4","p1,4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Initial,,,1,0,0,0
20,p1`66,603,499,603,338,603,418.5,"p1,6","p1,6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Initial,,,1,0,0,0
21,p1`21,415,603,254,603,334.5,603,"p1,2","p1,1",-90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,Right foot,1,3,10,3
22,p1`12,254,603,415,603,334.5,603,"p1,1","p1,2",90,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,Left foot,1,3,10,3
23,p1`78,254,234,415,234,334.5,234,"p1,7","p1,8",90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Left foot,1,3,10,3
24,p1`87,415,234,254,234,334.5,234,"p1,8","p1,7",-90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Right foot,1,3,10,3
25,p1`52,516,507,393,611,454.5,559,"p1,5","p1,2",-130,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,Both feet,1,3,10,3
26,p1`58,516,326,393,222,454.5,274,"p1,5","p1,8",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,Both feet,1,3,10,3
