,Name,Loc x - heel ball,Loc y - heel ball,Loc x - toe ball,Loc y - toe ball,Loc x - center,Loc y - center,Panel - heel,Panel - toe,Rotation,Left foot,Right foot,Left hand,Right hand,Big feet only,"p1,1","p1,3","p1,5","p1,7","p1,9",Notes,Rare,Support rotated heel-toe,Unusual,Cost - basic,Cost - beginner,Name
0,a1,236,535,236,535,236,535,air,"p1,1",any,1,1,1,1,0,1,0,0,0,0,Whole foot,,,,0.01,0,a1
1,a3,604,535,604,535,604,535,air,"p1,3",any,1,1,1,1,0,0,1,0,0,0,Whole foot,,,,0.01,0,a3
2,a5,419,419,419,419,419,419,air,"p1,5",any,1,1,1,1,0,0,0,1,0,0,Whole foot,,,,0,0,a5
3,a7,234,313,234,313,234,313,air,"p1,7",any,1,1,1,1,0,0,0,0,1,0,Whole foot,,,,0.01,0,a7
4,a9,603,313,603,313,603,313,air,"p1,9",any,1,1,1,1,0,0,0,0,0,1,Whole foot,,,,0.01,0,a9
5,14,236,544,236,383,236,463.5,"p1,1","p1,4",0,1,0,0,0,0,1,0,0,0,0,,,,,0,10,14
6,47,234,474,234,313,234,393.5,"p1,4","p1,7",0,1,0,0,0,0,0,0,0,1,0,,,,,0,10,47
7,51,349,479,217,572,283,525.5,"p1,5","p1,1",-125,1,1,1,1,0,1,0,1,0,0,,Right foot,,,0.05,10,51
8,15,237,572,329,440,283,506,"p1,1","p1,5",35,1,1,1,1,0,1,0,1,0,0,,Right foot,,,0.05,10,15
9,54,332,501,229,377,280.5,439,"p1,5","p1,4",-40,1,0,0,0,0,0,0,1,0,0,,,,,0,10,54
10,75,219,265,351,357,285,311,"p1,7","p1,5",125,1,1,1,1,0,0,0,1,1,0,,Both feet,,,0.2,10,75
11,57,319,412,227,280,273,346,"p1,5","p1,7",-35,1,1,1,1,0,0,0,1,1,0,,,,,0.04,10,57
12,35,599,572,507,440,553,506,"p1,3","p1,5",-35,1,1,1,1,0,0,1,1,0,0,,Left foot,,,0.05,10,35
13,53,487,479,619,572,553,525.5,"p1,5","p1,3",125,1,1,1,1,0,0,1,1,0,0,,Left foot,,,0.05,10,53
14,56,509,501,612,377,560.5,439,"p1,5","p1,6",40,0,1,0,0,0,0,0,1,0,0,,,,,0,10,56
15,59,517,412,609,280,563,346,"p1,5","p1,9",35,1,1,1,1,0,0,0,1,0,1,,,,,0.04,10,59
16,95,621,265,489,357,555,311,"p1,9","p1,5",-125,1,1,1,1,0,0,0,1,0,1,,Both feet,,,0.2,10,95
17,36,603,535,603,373.5,603,454.25,"p1,3","p1,6",0,0,1,0,0,0,0,1,0,0,0,,,,,0,10,36
18,69,603,474,603,312.5,603,393.25,"p1,6","p1,9",0,0,1,0,0,0,0,0,0,0,1,,,,,0,10,69
19,44,234,499,234,338,234,418.5,"p1,4","p1,4",0,1,0,0,0,0,0,0,0,0,0,Initial,,,1,0,0,44
20,66,603,499,603,338,603,418.5,"p1,6","p1,6",0,0,1,0,0,0,0,0,0,0,0,Initial,,,1,0,0,66
21,21,415,603,254,603,334.5,603,"p1,2","p1,1",-90,1,0,0,0,0,1,0,0,0,0,,,Right foot,1,3,10,21
22,12,254,603,415,603,334.5,603,"p1,1","p1,2",90,0,1,0,0,0,1,0,0,0,0,,,Left foot,1,3,10,12
23,78,254,234,415,234,334.5,234,"p1,7","p1,8",90,1,0,0,0,0,0,0,0,1,0,,,Left foot,1,3,10,78
24,87,415,234,254,234,334.5,234,"p1,8","p1,7",-90,0,1,0,0,0,0,0,0,1,0,,,Right foot,1,3,10,87
25,52,516,507,393,611,454.5,559,"p1,5","p1,2",-130,1,1,0,0,0,0,0,1,0,0,,,Both feet,1,3,10,52
26,58,516,326,393,222,454.5,274,"p1,5","p1,8",0,1,1,0,0,0,0,0,1,0,0,,,Both feet,1,3,10,58
27,23,424,603,585,603,504.5,603,"p1,2","p1,3",90,0,1,0,0,0,0,1,0,0,0,,,Right foot,1,3,10,23
28,32,585,603,424,603,504.5,603,"p1,3","p1,2",-90,1,0,0,0,0,0,1,0,0,0,,,Left foot,1,3,10,32
29,89,424,234,585,234,504.5,234,"p1,8","p1,9",90,1,0,0,0,0,0,0,0,0,1,,,Left foot,1,3,10,89
30,98,585,234,424,234,504.5,234,"p1,9","p1,8",-90,0,1,0,0,0,0,0,0,0,1,,,Right foot,1,3,10,98
31,17,232,520,232,359,232,439.5,"p1,1","p1,7",0,1,0,0,0,1,1,0,0,1,0,,,,1,6,10,17
32,39,602,520,602,359,602,439.5,"p1,3","p1,9",0,0,1,0,0,1,0,1,0,0,1,,,,1,6,10,39
